source,target,value
Continuous time-series data,1# Slag yard - Current of 2# cooling tower,1
Continuous time-series data,1# Slag yard - Current of 3# cooling tower,1
Continuous time-series data,1# Slag yard - Current of 4# cooling tower,1
Continuous time-series data,2# Slag yard - Temperature of 1# cooling tower,1
Continuous time-series data,2# Slag yard - Temperature of 2# cooling tower,1
Continuous time-series data,2# Slag yard - Temperature of 3# cooling tower,1
Continuous time-series data,2# Slag yard - Temperature of 4# cooling tower,1
Continuous time-series data,2# Slag yard - Liquid level of 1# cooling tower,1
Continuous time-series data,2# Slag yard - Liquid level of 2# cooling tower,1
Continuous time-series data,2# Slag yard - Liquid level of 3# cooling tower,1
Continuous time-series data,2# Slag yard - Liquid level of 4# cooling tower,1
Continuous time-series data,2# Slag yard - Flow rate of 1# cooling tower,1
Continuous time-series data,2# Slag yard - Flow rate of 2# cooling tower,1
Continuous time-series data,2# Slag yard - Flow rate of 3# cooling tower,1
Continuous time-series data,2# Slag yard - Flow rate of 4# cooling tower,1
Continuous time-series data,2# Slag yard - Current of 1# cooling tower,1
Continuous time-series data,2# Slag yard - Current of 2# cooling tower,1
Continuous time-series data,2# Slag yard - Current of 3# cooling tower,1
Continuous time-series data,2# Slag yard - Current of 4# cooling tower,1
Binary status data,Blow-off valve,1
Binary status data,Pressurization valve,1
Binary status data,Emergency water supply valve,1
Continuous time-series data,Level of expansion tank,1
Continuous time-series data,Pressure of expansion tank,1
Continuous time-series data,Pressure of nitrogen tank,2
Continuous time-series data,Pressure of supply ring pipe about soft water,1
Continuous time-series data,Flow rate of emergency water supply pipe,1
Continuous time-series data,Pressure of emergency water supply pipe,1
Controllable data,Ultimate upper limit setpoint of level of expansion tank,1
Controllable data,Upper limit setpoint of level of expansion tank,1
Controllable data,Lower limit setpoint of level of expansion tank,1
Controllable data,Ultimate lower limit setpoint of level of expansion tank,1
Controllable data,Pressure setpoint of supply ring pipe about soft water,1
Controllable data,Upper limit setpoint of pressure of Blow-Off valve,1
Controllable data,Lower limit setpoint of pressure of Blow-Off valve,1
Controllable data,Upper limit setpoint of pressure of pressurization valve,1
Controllable data,Lower limit setpoint of pressure of pressurization valve,1
Continuous time-series data,Hot blast temperature - Hot blast stove side,2
Continuous time-series data,Hot blast temperature - Blast furnace side,1
Continuous time-series data,Hot blast pressure-Hot blast stove side,1
Continuous time-series data,Hot blast pressure-Blast furnace side,1
Controllable data,Lower limit setpoint of opening about cold air flow control valve,1
Controllable data,Feedback value of opening about cold air flow control valve,1
Controllable data,Temperature setpoint of mixed air,1
Controllable data,Feedback value of opening about mixed air valve,1
Controllable data,Setpoint of opening about mixed air valve,1
Continuous time-series data,Flow rate of carbon monoxide in 1# heat exchanger outlet,1
Continuous time-series data,Flow rate of carbon monoxide in 2# heat exchanger outlet,1
Continuous time-series data,Air main pipe pressure in 1# heat exchanger outlet,1
Continuous time-series data,Air main pipe pressure in 2# heat exchanger outlet,1
Continuous time-series data,Pressure of cold air main pipe,1
Continuous time-series data,Flow rate of cold air main pipe,1
Continuous time-series data,Temperature of cold air main pipe,1
Continuous time-series data,Pressure of hot blast main pipe,1
Continuous time-series data,Pressure of nitrogen main pipe,1
Continuous time-series data,Temperature of nitrogen main pipe,1
Continuous time-series data,Flow rate of nitrogen main pipe,1
Continuous time-series data,Bearing temperature of support end in 1# combustion air fan,1
Continuous time-series data,Bearing temperature of thrust end in 1# combustion air fan,1
Continuous time-series data,Bearing temperature of extension end in 1# combustion air fan,1
Continuous time-series data,Bearing temperature of non-shaft extension end in 1# combustion air fan,1
Continuous time-series data,Temperature of motor stator U in 1# combustion air fan,1
Continuous time-series data,Temperature of motor stator V in 1# combustion air fan,1
Continuous time-series data,Temperature of motor stator W in 1# combustion air fan,1
Continuous time-series data,X-Direction bearing amplitude of support end in 1# combustion air fan,1
Continuous time-series data,Y-Direction bearing amplitude of support end in 1# combustion air fan,1
Continuous time-series data,X-Direction bearing amplitude of thrust end in 1# combustion air fan,1
Continuous time-series data,Y-Direction bearing amplitude of thrust end in 1# combustion air fan,1
Continuous time-series data,Current of 1# combustion air fan,1
Continuous time-series data,Bearing temperature of support end in 2# combustion air fan,1
Continuous time-series data,Bearing temperature of thrust end in 2# combustion air fan,1
Continuous time-series data,Bearing temperature of extension end in 2# combustion air fan,1
Continuous time-series data,Bearing temperature of non-shaft extension end in 2# combustion air fan,1
Continuous time-series data,Temperature of motor stator U in 2# combustion air fan,1
Continuous time-series data,Temperature of motor stator V in 2# combustion air fan,1
Continuous time-series data,Temperature of motor stator W in 2# combustion air fan,1
Continuous time-series data,X-Direction bearing amplitude of support end in 2# combustion air fan,1
Continuous time-series data,Y-Direction bearing amplitude of support end in 2# combustion air fan,1
Continuous time-series data,X-Direction bearing amplitude of thrust end in 2# combustion air fan,1
Continuous time-series data,Y-Direction bearing amplitude of thrust end in 2# combustion air fan,1
Continuous time-series data,Current of 2# combustion air fan,1
Discrete time-series data,Pressure of preheated combustion air,1
Discrete time-series data,Temperature of preheated combustion air,1
Discrete time-series data,Pressure of preheated coal gas,1
Discrete time-series data,Temperature of preheated coal gas,1
Discrete time-series data,PV value of 1# combustion air fan,1
Discrete time-series data,VI Value of 1# combustion air fan,1
Discrete time-series data,SP Value of 1# combustion air fan,1
Discrete time-series data,CV Value of 1# combustion air fan,1
Discrete time-series data,PV value of 2# combustion air fan,1
Discrete time-series data,VI Value of 2# combustion air fan,1
Discrete time-series data,SP Value of 2# combustion air fan,1
Discrete time-series data,CV Value of 2# combustion air fan,1
Constraint data,Upper limit setpoint of bearing temperature of support end,1
Constraint data,Upper limit setpoint of bearing temperature of thrust end,1
Constraint data,Upper limit setpoint of bearing temperature of extension end,1
Constraint data,Upper limit setpoint of bearing temperature of non-shaft extension end,1
Constraint data,Upper limit setpoint of temperature of motor stator U,1
Constraint data,Upper limit setpoint of temperature of motor stator V,1
Constraint data,Upper limit setpoint of temperature of motor stator W,1
Constraint data,Upper limit setpoint of X-Direction bearing amplitude of support end,1
Constraint data,Upper limit setpoint of Y-Direction bearing amplitude of support end,1
Constraint data,Upper limit setpoint of X-Direction bearing amplitude of thrust end,1
Constraint data,Upper limit setpoint of Y-Direction bearing amplitude of thrust end,1
Constraint data,Upper limit setpoint of current of combustion air fan,1
Binary status data,Fault about hydraulic station system,1
Binary status data,Start about 1# pump oil pump,1
Binary status data,Start about 2# pump oil pump,1
Binary status data,Low oil temperature of hydraulic station,1
Binary status data,High oil temperature of hydraulic station,1
Binary status data,Motor overload of hydraulic station,1
Binary status data,High liquid level of hydraulic station,1
Binary status data,Low liquid level of hydraulic station,1
Binary status data,Extremely low liquid level of hydraulic station,1
Binary status data,Extremely high pressure of hydraulic station,1
Binary status data,Extremely high oil temperature of hydraulic station,1
Binary status data,Circulation oil filter clogged,1
Binary status data,1# return oil filter clogged,2
Binary status data,2# return oil filter clogged,2
Continuous time-series data,Current of 1# pump,1
Continuous time-series data,Temperature of 1# pump,1
Continuous time-series data,Current of 2# pump,1
Continuous time-series data,Temperature of 2# pump,1
Continuous time-series data,Oil pressure of hydraulic station,1
Continuous time-series data,Oil temperature of hydraulic station,1
Continuous time-series data,Liquid level of hydraulic station,1
Binary status data,1# Oil pump interlock start,1
Binary status data,2# Oil pump interlock start,1
Binary status data,1# Oil pump start,1
Binary status data,2# Oil pump start,1
Binary status data,Circulation pump start,1
Constraint data,Upper limit setpoint of oil temperature about hydraulic station,1
Constraint data,Lower limit setpoint of oil temperature about hydraulic station,1
Constraint data,Upper limit setpoint of oil pressure about hydraulic station,1
Constraint data,Lower limit setpoint of oil pressure about hydraulic station,1
Constraint data,Upper limit setpoint of Liquid Level about hydraulic station,1
Constraint data,Lower limit setpoint of Liquid Level about hydraulic station,1
Binary status data,1#Hot stove - Flame detector fault,2
Binary status data,2#Hot stove - Flame detector fault,2
Binary status data,3#Hot stove - Flame detector fault,2
Binary status data,1#Hot stove - Semiautomatic operation mode activated,1
Binary status data,2#Hot stove - Semiautomatic operation mode activated,1
Binary status data,3#Hot stove - Semiautomatic operation mode activated,1
Binary status data,1# Hydraulic station oil pump start,1
Binary status data,2# Hydraulic station oil pump start,1
Continuous time-series data,Pressure of main coal gas pipe before heat exchanger,1
Continuous time-series data,Pressure of main coal gas pipe after heat exchanger,1
Continuous time-series data,Pressure of main air gas pipe before heat exchanger,1
Continuous time-series data,Pressure of main air gas pipe after heat exchanger,1
Continuous time-series data,Pressure of main flue gas pipe before heat exchanger,1
Continuous time-series data,Pressure of main flue gas pipe after heat exchanger,1
Continuous time-series data,Carbon monoxide content of flue gas at heat exchanger waste gas outlet,1
Continuous time-series data,Temperature of main coal gas pipe before preheating,1
Continuous time-series data,Temperature of main coal gas pipe after preheating,1
Continuous time-series data,1#Hot stove - Inlet pressure of main cold air pipe,1
Continuous time-series data,1#Hot stove - Outlet pressure of main cold air pipe,1
Continuous time-series data,1#Hot stove - Outlet pressure of main waste gas pipe,1
Continuous time-series data,1#Hot stove - Inlet temperature of main flue gas pipe,1
Continuous time-series data,1#Hot stove - Outlet temperature of main flue gas pipe,1
Continuous time-series data,2#Hot stove - Inlet pressure of main cold air pipe,1
Continuous time-series data,2#Hot stove - Outlet pressure of main cold air pipe,1
Continuous time-series data,2#Hot stove - Outlet pressure of main waste gas pipe,1
Continuous time-series data,2#Hot stove - Inlet temperature of main flue gas pipe,1
Continuous time-series data,2#Hot stove - Outlet temperature of main flue gas pipe,1
Continuous time-series data,3#Hot stove - Inlet pressure of main cold air pipe,1
Continuous time-series data,3#Hot stove - Outlet pressure of main cold air pipe,1
Continuous time-series data,3#Hot stove - Outlet pressure of main waste gas pipe,1
Continuous time-series data,3#Hot stove - Inlet temperature of main flue gas pipe,1
Continuous time-series data,3#Hot stove - Outlet temperature of main flue gas pipe,1
Continuous time-series data,Temperature of main combustion air pipe before heat exchanger,1
Continuous time-series data,Pressure of main combustion air pipe before heat exchanger,1
Continuous time-series data,Temperature of main combustion air pipe after heat exchanger,1
Continuous time-series data,Pressure of main combustion air pipe after heat exchanger,1
Continuous time-series data,1#Hot stove - Dome temperature,1
Continuous time-series data,2#Hot stove - Dome temperature,1
Continuous time-series data,3#Hot stove - Dome temperature,1
Continuous time-series data,1#Hot stove - Carbon monoxide content of flue,1
Continuous time-series data,1#Hot stove - Carbon monoxide content of heat exchanger outlet,1
Continuous time-series data,1#Hot stove - Oxygen content of flue,1
Continuous time-series data,2#Hot stove - Carbon monoxide content of flue,1
Continuous time-series data,2#Hot stove - Carbon monoxide content of heat exchanger outlet,1
Continuous time-series data,2#Hot stove - Oxygen content of flue,1
Continuous time-series data,3#Hot stove - Carbon monoxide content of flue,1
Continuous time-series data,3#Hot stove - Carbon monoxide content of heat exchanger outlet,1
Continuous time-series data,3#Hot stove - Oxygen content of flue,1
Discrete time-series data,1#Hot stove - Air supply valve of main cold air pipe,1
Discrete time-series data,2#Hot stove - Air supply valve of main cold air pipe,1
Discrete time-series data,3#Hot stove - Air supply valve of main cold air pipe,1
Discrete time-series data,1#Hot stove - Outlet valve of main waste gas pipe,1
Discrete time-series data,2#Hot stove - Outlet valve of main waste gas pipe,1
Discrete time-series data,3#Hot stove - Outlet valve of main waste gas pipe,1
Discrete time-series data,1#Hot stove - Outlet valve of main flue pipe,1
Discrete time-series data,2#Hot stove - Outlet valve of main flue pipe,1
Discrete time-series data,3#Hot stove - Outlet valve of main flue pipe,1
Binary status data,1#Hot stove - Operation feedback mode,1
Binary status data,2#Hot stove - Operation feedback mode,1
Binary status data,3#Hot stove - Operation feedback mode,1
Binary status data,Setpoint value of hot stove changing time,1
Binary status data,Interlock mode of air/(coal gas) combustion valve,1
Binary status data,1#Hot stove - Operating mode selection (Combustion/Braise-oven/Blast),1
Binary status data,2#Hot stove - Operating mode selection (Combustion/Braise-oven/Blast),1
Binary status data,3#Hot stove - Operating mode selection (Combustion/Braise-oven/Blast),1
Constraint data,1#Hot stove - Upper limit setpoint of blast temperature,1
Constraint data,2#Hot stove - Upper limit setpoint of blast temperature,1
Constraint data,3#Hot stove - Upper limit setpoint of blast temperature,1
Constraint data,1#Hot stove - Upper limit setpoint of blast pressure,1
Constraint data,2#Hot stove - Upper limit setpoint of blast pressure,1
Constraint data,3#Hot stove - Upper limit setpoint of blast pressure,1
Constraint data,1#Hot stove - Setpoint of blast temperature,1
Constraint data,2#Hot stove - Setpoint of blast temperature,1
Constraint data,3#Hot stove - Setpoint of blast temperature,1
Constraint data,1#Hot stove - Setpoint of blast time,1
Constraint data,2#Hot stove - Setpoint of blast time,1
Constraint data,3#Hot stove - Setpoint of blast time,1
Constraint data,1#Hot stove - Upper limit value of dome temperature,1
Constraint data,2#Hot stove - Upper limit value of dome temperature,1
Constraint data,3#Hot stove - Upper limit value of dome temperature,1
Constraint data,1#Hot stove - Lower limit value of dome temperature,1
Constraint data,2#Hot stove - Lower limit value of dome temperature,1
Constraint data,3#Hot stove - Lower limit value of dome temperature,1
Continuous time-series data,Hot blast pressure,2
Continuous time-series data,Hot blast temperature – Blast furnace side,1
Continuous time-series data,Pressure of main cold air pipe,1
Continuous time-series data,Flow rate of main cold air pipe,1
Continuous time-series data,Humidity of main cold air pipe,1
Continuous time-series data,Temperature of main cold air pipe,1
Binary status data,1# Hot stove - Combustion mode (Manual/Automatic),1
Binary status data,2# Hot stove - Combustion mode (Manual/Automatic),1
Binary status data,3# Hot stove - Combustion mode (Manual/Automatic),1
Continuous time-series data,1# Hot stove - Air-to-fuel ratio,1
Continuous time-series data,1# Hot stove - Combustion time,1
Continuous time-series data,1# Hot stove - Dome temperature,2
Continuous time-series data,1# Hot stove - Temperature A,1
Continuous time-series data,1# Hot stove - Temperature B,1
Continuous time-series data,1# Hot stove - Temperature of flue,1
Continuous time-series data,1# Hot stove - Oxygen content of flue,1
Continuous time-series data,1# Hot stove - Temperature A of stove shell,1
Continuous time-series data,1# Hot stove - Temperature B of stove shell,1
Continuous time-series data,1# Hot stove - Temperature C of stove shell,1
Continuous time-series data,1# Hot stove - Temperature of combustion chamber,1
Continuous time-series data,1# Hot stove - Chequer brick temperature,1
Continuous time-series data,1# Hot stove - Silica brick temperature,1
Continuous time-series data,1# Hot stove - Temperature of stove grate,1
Continuous time-series data,2# Hot stove - Air-to-fuel ratio,1
Continuous time-series data,2# Hot stove - Combustion time,1
Continuous time-series data,2# Hot stove - Dome temperature,2
Continuous time-series data,2# Hot stove - Temperature A,1
Continuous time-series data,2# Hot stove - Temperature B,1
Continuous time-series data,2# Hot stove - Temperature of flue,1
Continuous time-series data,2# Hot stove - Oxygen content of flue,1
Continuous time-series data,2# Hot stove - Temperature A of stove shell,1
Continuous time-series data,2# Hot stove - Temperature B of stove shell,1
Continuous time-series data,2# Hot stove - Temperature C of stove shell,1
Continuous time-series data,2# Hot stove - Temperature of combustion chamber,1
Continuous time-series data,2# Hot stove - Chequer brick temperature,1
Continuous time-series data,2# Hot stove - Silica brick temperature,1
Continuous time-series data,2# Hot stove - Temperature of stove grate,1
Continuous time-series data,3# Hot stove - Air-to-fuel ratio,1
Continuous time-series data,3# Hot stove - Combustion time,1
Continuous time-series data,3# Hot stove - Dome temperature,2
Continuous time-series data,3# Hot stove - Temperature A,1
Continuous time-series data,3# Hot stove - Temperature B,1
Continuous time-series data,3# Hot stove - Temperature of flue,1
Continuous time-series data,3# Hot stove - Oxygen content of flue,1
Continuous time-series data,3# Hot stove - Temperature A of stove shell,1
Continuous time-series data,3# Hot stove - Temperature B of stove shell,1
Continuous time-series data,3# Hot stove - Temperature C of stove shell,1
Continuous time-series data,3# Hot stove - Temperature of combustion chamber,1
Continuous time-series data,3# Hot stove - Chequer brick temperature,1
Continuous time-series data,3# Hot stove - Silica brick temperature,1
Continuous time-series data,3# Hot stove - Temperature of stove grate,1
Constraint data,Main pipe - Braise-oven - Lower limit setpoint of pressure about coal gas,1
Constraint data,Main pipe - Lower limit setpoint of pressure about coal gas,1
Constraint data,Main pipe - Braise-oven - Lower limit setpoint of pressure about air,1
Constraint data,Main pipe - Lower limit setpoint of pressure about air,1
Constraint data,Main pipe - Lower limit setpoint of cold air flow,1
Constraint data,Main pipe - Lower limit setpoint of cold air pressure,1
Constraint data,Main pipe - Upper limit setpoint of hot blast pressure,1
Constraint data,Main pipe - Lower limit setpoint of hot blast pressure,1
Constraint data,Main pipe - Humidified blast off - Lower limit setpoint of hot blast pressure,1
Constraint data,1#Hot stove - Upper limit setpoint of combustion - Dome temperature,1
Constraint data,1#Hot stove - Upper limit setpoint of combustion - Temperature of waste gas,1
Constraint data,1#Hot stove - Lower limit setpoint of combustion - Dome temperature,1
Constraint data,1#Hot stove - Lower limit setpoint of combustion - Temperature of waste gas,1
Constraint data,1#Hot stove - Upper limit setpoint of dome temperature,1
Constraint data,1#Hot stove - Upper limit setpoint of temperature of waste gas,1
Constraint data,1#Hot stove - Temperature difference setpoint under ignition failure,1
Constraint data,1#Hot stove - Time difference setpoint under ignition failure,1
Constraint data,1#Hot stove - Opening time of impact valve,1
Constraint data,1#Hot stove - Closing time of impact valve,1
Constraint data,1#Hot stove - Hydraulic setpoint under normal operation,1
Constraint data,1#Hot stove - Equalizing pressure setpoint under normal operation,1
Constraint data,1#Hot stove - Nitrogen purging time under “combustion → stop”,1
Constraint data,1#Hot stove - Nitrogen purging time under “stop → combustion”,1
Constraint data,1#Hot stove - Nitrogen purging time under ignition failure,1
Constraint data,1#Hot stove - Ignition angle - Setpoint of air control valve opening,1
Constraint data,1#Hot stove - Ignition angle - Setpoint of coal gas control valve opening,1
Constraint data,1#Hot stove - Ignition angle - Delay time for opening gas control valve,1
Constraint data,1#Hot stove - Lower limit value of air flow under closing coal gas control valve,1
Constraint data,1#Hot stove - Lower Limit Value of air control valve opening under closing coal gas control valve,1
Constraint data,2#Hot stove - Upper limit setpoint of combustion - Dome temperature,1
Constraint data,2#Hot stove - Upper limit setpoint of combustion - Temperature of waste gas,1
Constraint data,2#Hot stove - Lower limit setpoint of combustion - Dome temperature,1
Constraint data,2#Hot stove - Lower limit setpoint of combustion - Temperature of waste gas,1
Constraint data,2#Hot stove - Upper limit setpoint of dome temperature,1
Constraint data,2#Hot stove - Upper limit setpoint of temperature of waste gas,1
Constraint data,2#Hot stove - Temperature difference setpoint under ignition failure,1
Constraint data,2#Hot stove - Time difference setpoint under ignition failure,1
Constraint data,2#Hot stove - Opening time of impact valve,1
Constraint data,2#Hot stove - Closing time of impact valve,1
Constraint data,2#Hot stove - Hydraulic setpoint under normal operation,1
Constraint data,2#Hot stove - Equalizing pressure setpoint under normal operation,1
Constraint data,2#Hot stove - Nitrogen purging time under “combustion → stop”,1
Constraint data,2#Hot stove - Nitrogen purging time under “stop → combustion”,1
Constraint data,2#Hot stove - Nitrogen purging time under ignition failure,1
Constraint data,2#Hot stove - Ignition angle - Setpoint of air control valve opening,1
Constraint data,2#Hot stove - Ignition angle - Setpoint of coal gas control valve opening,1
Constraint data,2#Hot stove - Ignition angle - Delay time for opening gas control valve,1
Constraint data,2#Hot stove - Lower limit value of air flow under closing coal gas control valve,1
Constraint data,2#Hot stove - Lower Limit Value of air control valve opening under closing coal gas control valve,1
Constraint data,3#Hot stove - Upper limit setpoint of combustion - Dome temperature,1
Constraint data,3#Hot stove - Upper limit setpoint of combustion - Temperature of waste gas,1
Constraint data,3#Hot stove - Lower limit setpoint of combustion - Dome temperature,1
Constraint data,3#Hot stove - Lower limit setpoint of combustion - Temperature of waste gas,1
Constraint data,3#Hot stove - Upper limit setpoint of dome temperature,1
Constraint data,3#Hot stove - Upper limit setpoint of temperature of waste gas,1
Constraint data,3#Hot stove - Temperature difference setpoint under ignition failure,1
Constraint data,3#Hot stove - Time difference setpoint under ignition failure,1
Constraint data,3#Hot stove - Opening time of impact valve,1
Constraint data,3#Hot stove - Closing time of impact valve,1
Constraint data,3#Hot stove - Hydraulic setpoint under normal operation,1
Constraint data,3#Hot stove - Equalizing pressure setpoint under normal operation,1
Constraint data,3#Hot stove - Nitrogen purging time under “combustion → stop”,1
Constraint data,3#Hot stove - Nitrogen purging time under “stop → combustion”,1
Constraint data,3#Hot stove - Nitrogen purging time under ignition failure,1
Constraint data,3#Hot stove - Ignition angle - Setpoint of air control valve opening,1
Constraint data,3#Hot stove - Ignition angle - Setpoint of coal gas control valve opening,1
Constraint data,3#Hot stove - Ignition angle - Delay time for opening gas control valve,1
Constraint data,3#Hot stove - Lower limit value of air flow under closing coal gas control valve,1
Constraint data,3#Hot stove - Lower Limit Value of air control valve opening under closing coal gas control valve,1
Constraint data,Material position of desulfurant level,1
Continuous time-series data,Temperature of main nitrogen pipe,1
Continuous time-series data,Pressure of main nitrogen pipe,4
Continuous time-series data,Flow rate of main nitrogen pipe,3
Continuous time-series data,Dust concentration of large dust hopper outlet,1
Continuous time-series data,Differential pressure of large dust hopper,1
Continuous time-series data,Pressure of nitrogen pipe about dust hopper pulse valve,1
Continuous time-series data,Pressure of pneumatic valve,1
Continuous time-series data,Flow rate of pneumatic valve,1
Continuous time-series data,Pressure of pulse blowing,1
Continuous time-series data,Flow Rate of pulse blowing,1
Continuous time-series data,Pressure of pneumatic conveying dust,1
Continuous time-series data,Flow rate of pneumatic conveying dust,1
Continuous time-series data,Pressure of inlet about raw coal gas,1
Continuous time-series data,Concentration of inlet about raw coal gas,1
Continuous time-series data,Temperature of inlet about raw coal gas,1
Continuous time-series data,Pressure of inlet about clean coal gas,1
Continuous time-series data,Concentration of inlet about clean coal gas,1
Continuous time-series data,Temperature of inlet about clean coal gas,1
Continuous time-series data,Pressure of 1# Box,1
Continuous time-series data,Temperature of 1# Box,1
Continuous time-series data,Concentration of 1# Box,1
Continuous time-series data,Pressure of 2# Box,1
Continuous time-series data,Temperature of 2# Box,1
Continuous time-series data,Concentration of 2# Box,1
Continuous time-series data,Pressure of 3# Box,1
Continuous time-series data,Temperature of 3# Box,1
Continuous time-series data,Concentration of 3# Box,1
Continuous time-series data,Pressure of 4# Box,1
Continuous time-series data,Temperature of 4# Box,1
Continuous time-series data,Concentration of 4# Box,1
Continuous time-series data,Pressure of 5# Box,1
Continuous time-series data,Temperature of 5# Box,1
Continuous time-series data,Concentration of 5# Box,1
Continuous time-series data,Pressure of 6# Box,1
Continuous time-series data,Temperature of 6# Box,1
Continuous time-series data,Concentration of 6# Box,1
Continuous time-series data,Pressure of 7# Box,1
Continuous time-series data,Temperature of 7# Box,1
Continuous time-series data,Concentration of 7# Box,1
Continuous time-series data,Pressure of 8# Box,1
Continuous time-series data,Temperature of 8# Box,1
Continuous time-series data,Concentration of 8# Box,1
Continuous time-series data,Pressure of 9# Box,1
Continuous time-series data,Temperature of 9# Box,1
Continuous time-series data,Concentration of 9# Box,1
Continuous time-series data,Pressure of 10# Box,1
Continuous time-series data,Temperature of 10# Box,1
Continuous time-series data,Concentration of 10# Box,1
Continuous time-series data,Pressure of 11# Box,1
Continuous time-series data,Temperature of 11# Box,1
Continuous time-series data,Concentration of 11# Box,1
Continuous time-series data,Pressure of 12# Box,1
Continuous time-series data,Temperature of 12# Box,1
Continuous time-series data,Concentration of 12# Box,1
Binary status data,Timed back-blowing mode,1
Binary status data,Differential pressure back-blowing mode,1
Binary status data,Manual back-blowing mode,1
Binary status data,Emergency manual back-blowing mode,1
Binary status data,System idle mode,1
Binary status data,Automatic back-blowing mode,1
Binary status data,Timed dust discharge mode,2
Binary status data,Temperature difference dust discharge mode,2
Binary status data,Manual dust discharge mode,2
Binary status data,Emergency manual dust discharge mode,2
Binary status data,Automatic dust discharge mode,2
Discrete time-series data,Time of timed back-blowing,1
Discrete time-series data,Pressure of timed back-blowing,1
Discrete time-series data,Time of timed dust discharge,1
Discrete time-series data,Temperature of timed dust discharge,1
Discrete time-series data,Invoked back-blowing nitrogen consumption per use,1
Discrete time-series data,Last consumption of invoked back-blowing nitrogen,1
Discrete time-series data,Back-blowing nitrogen consumption per use,1
Discrete time-series data,Last consumption of back-blowing nitrogen,1
Discrete time-series data,Back-blowing nitrogen consumption of current team,1
Discrete time-series data,Back-blowing nitrogen consumption at 8:00-20:00,1
Discrete time-series data,Back-blowing nitrogen consumption at 20:00-8:00,1
Discrete time-series data,Back-blowing nitrogen consumption of current month,1
Discrete time-series data,Back-blowing nitrogen consumption of last month,1
Discrete time-series data,Back-blowing nitrogen consumption at yesterday,1
Discrete time-series data,Nitrogen consumption per use for dust conveying,1
Discrete time-series data,Last Nitrogen consumption for dust conveying,1
Discrete time-series data,Nitrogen consumption for dust conveying at today,1
Discrete time-series data,Nitrogen consumption for dust conveying of current month,1
Discrete time-series data,Nitrogen consumption for dust conveying of last month,1
Constraint data,Upper limit setpoint of temperature about raw coal gas,1
Constraint data,Lower limit setpoint of temperature about raw coal gas,1
Constraint data,Setpoint value of time about timed back-blowing,1
Constraint data,Setpoint value of pressure about differential pressure back-blowing,1
Constraint data,Setpoint value of pulse width,1
Constraint data,Setpoint value of pulse interval,1
Constraint data,Setpoint value of box interval,1
Constraint data,Setpoint value of pressure about high dry nitrogen,1
Constraint data,Setpoint value of pressure about differential pressure back-blowing of dust hopper,1
Constraint data,Setpoint value of Time about timed dust discharge,1
Constraint data,Setpoint value of temperature about temperature difference dust discharge,1
Constraint data,Setpoint value of nitrogen cannon width,1
Constraint data,Setpoint value of nitrogen cannon interval,1
Constraint data,Setpoint value of time about empty hopper,1
Constraint data,Lower limit value of pressure about dust conveying pipe,1
Binary status data,Manual valve of main nitrogen pipe,1
Binary status data,Electric ball valve on nitrogen inlet,1
Binary status data,Electric ball valve on nitrogen outlet,1
Binary status data,Electric blind plate valve of nitrogen,1
Binary status data,Control valve of nitrogen,1
Binary status data,Start ejector valve,1
Binary status data,Blind plate valve on coal gas outlet,1
Binary status data,Butterfly valve on coal gas outlet,1
Binary status data,Butterfly valve on coal gas inlet,1
Binary status data,Electric blind plate valve of ejector,1
Binary status data,Butterfly valve for reducing pressure of coal gas,1
Continuous time-series data,Temperature of nitrogen outlet,1
Continuous time-series data,Flow rate of nitrogen outlet,1
Continuous time-series data,Pressure of nitrogen outlet,1
Continuous time-series data,Temperature of coal gas before ejector,1
Continuous time-series data,Pressure of main coal gas pipe,1
Continuous time-series data,Pressure of clean coal gas,1
Continuous time-series data,Pressure of ejector,1
Continuous time-series data,Flow rate of ejector,1
Binary status data,Blind plate valve for equalizing pressure blow-off,1
Binary status data,Blow-off valve of main equalizing pressure pipe,1
Binary status data,Upper blind plate valve of 1# equalizing pressure pipeline,1
Binary status data,Lower blind plate valve of 1# equalizing pressure pipeline,1
Binary status data,Upper blind plate valve of 2# equalizing pressure pipeline,1
Binary status data,Lower blind plate valve of 2# equalizing pressure pipeline,1
Binary status data,Upper blind plate valve for recovering and relieving pressure,1
Binary status data,Lower blind plate valve for recovering and relieving pressure,1
Binary status data,Pressure control valve of steam,1
Binary status data,Dust discharge valve,1
Binary status data,Flow control valve of secondary equalizing pressure,1
Continuous time-series data,Top temperature of box,1
Continuous time-series data,Center temperature of box,1
Continuous time-series data,Pressure of tank for discharging dust and relieving pressure,1
Constraint data,Setpoint value for dedusting valve opening of v1-1 side suction main pipe,1
Constraint data,Setpoint value for dedusting valve opening of v1-2 slag skimmer,1
Constraint data,Setpoint value for dedusting valve opening of V1-3 slag skimmer at main iron channel,1
Constraint data,Setpoint value for dedusting valve opening of v1-4 residual iron channel,1
Constraint data,Setpoint value for dedusting valve opening of V1-5 swinging spout,1
Constraint data,Setpoint value for dedusting valve opening of V1-6 swinging spout at main iron channel,1
Constraint data,Setpoint value for dedusting valve opening of V1-7 swinging spout at main slag channel,1
Constraint data,Setpoint value for dedusting valve opening of V1-8 top suction swinging spout,1
Constraint data,Setpoint value for dedusting valve opening of V2-1 side suction main pipe,1
Constraint data,Setpoint value for dedusting valve opening of V2-2 slag skimmer,1
